city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Helsinki,60.1756,24.9342,Finland,FI,Uusimaa,primary,642045,642045
Espoo,60.21,24.66,Finland,FI,Uusimaa,minor,269802,269802
Tampere,61.4981,23.7608,Finland,FI,Pirkanmaa,admin,225118,225118
Vantaa,60.3,25.0333,Finland,FI,Uusimaa,minor,214605,214605
Oulu,65.0142,25.4719,Finland,FI,Pohjois-Pohjanmaa,admin,200526,200526
Turku,60.4517,22.27,Finland,FI,Varsinais-Suomi,admin,187604,187604
Jyv‰skyl‰,62.2333,25.7333,Finland,FI,Keski-Suomi,admin,137368,137368
Kuopio,62.8925,27.6783,Finland,FI,Pohjois-Savo,admin,120246,120246
Lahti,60.9804,25.655,Finland,FI,P‰ij‰t-H‰me,admin,118119,118119
Kouvola,60.8681,26.7042,Finland,FI,Kymenlaakso,admin,85855,85855
Pori,61.4847,21.7972,Finland,FI,Satakunta,admin,85363,85363
Joensuu,62.6,29.7639,Finland,FI,Pohjois-Karjala,admin,75514,75514
Lappeenranta,61.0583,28.1861,Finland,FI,Etel‰-Karjala,admin,72875,72875
H‰meenlinna,61,24.4414,Finland,FI,Kanta-H‰me,admin,68011,68011
Vaasa,63.1,21.6167,Finland,FI,Pohjanmaa,admin,67619,67619
Rovaniemi,66.5028,25.7285,Finland,FI,Lappi,admin,61763,61763
Sein‰joki,62.7903,22.8403,Finland,FI,Etel‰-Pohjanmaa,admin,61530,61530
Mikkeli,61.6875,27.2736,Finland,FI,Etel‰-Savo,admin,54665,54665
Kotka,60.4667,26.9458,Finland,FI,Kymenlaakso,minor,54319,54319
Salo,60.3831,23.1331,Finland,FI,Varsinais-Suomi,minor,53890,53890
Porvoo,60.3931,25.6639,Finland,FI,Uusimaa,minor,49928,49928
Kokkola,63.8376,23.132,Finland,FI,Keski-Pohjanmaa,admin,47570,47570
Lohja,60.25,24.0667,Finland,FI,Uusimaa,minor,47353,47353
Hyvink‰‰,60.6306,24.8597,Finland,FI,Uusimaa,minor,46463,46463
Nurmij‰rvi,60.4667,24.8083,Finland,FI,Uusimaa,minor,42709,42709
J‰rvenp‰‰,60.4722,25.0889,Finland,FI,Uusimaa,minor,40106,40106
Rauma,61.1167,21.5,Finland,FI,Satakunta,minor,39809,39809
Kirkkonummi,60.1167,24.4167,Finland,FI,Uusimaa,minor,38649,38649
Tuusula,60.4028,25.0292,Finland,FI,Uusimaa,minor,38646,38646
